"","Rank","ID","Description","Z-score","Adjusted P-value","Genes","Count"
"GO:0043473",58,"GO:0043473","pigmentation",8.08911581460875,1.78881394174208e-10,"SNAI2/DTNBP1/CDH3/RAB27A/TYR/DCT/BAX/HPS4/AP1B1/GPR143/RAB11A/OCA2/AP1S1/TYRP1/HPS1/HPS5/FIG4/POMC/MLPH/MREG/RAB32/TBX2/RAB38/RAB17/CITED1/APOE/CD63/EDNRB/RAB1A/LYST/KIT/EDA/MFSD12/TPCN2/BBS5/HPS3/SLC45A2/ATP7A/HPS6/BCL2/VANGL1/AP3S1/BACE2/VPS33B/PMEL/MITF/SLC24A5/BLOC1S2/MYO5A/RACK1/MC1R",51
"GO:0042440",64,"GO:0042440","pigment metabolic process",7.73647288469853,2.58372594730409e-09,"COX15/ALAS1/ABCC2/OPN3/CDH3/FECH/TYR/DCT/CPOX/NFE2L1/BLVRB/SRRD/HMOX1/TSPO/GPR143/ABCC1/HMOX2/OCA2/BLVRA/TYRP1/SLC11A2/TMEM14C/TBX2/RAB38/CITED1/UROD/ATP5IF1/SLC25A38/SLC7A11/MFSD12/SLC45A2/FXN/ATP7A/BCL2/PMEL/SLC24A5/UROS/HMBS/MC1R",39
"GO:0046148",70,"GO:0046148","pigment biosynthetic process",7.67110515594753,7.12940669605973e-09,"COX15/ALAS1/OPN3/CDH3/FECH/TYR/DCT/CPOX/NFE2L1/SRRD/TSPO/GPR143/OCA2/TYRP1/SLC11A2/TMEM14C/RAB38/CITED1/UROD/ATP5IF1/SLC25A38/SLC7A11/MFSD12/SLC45A2/FXN/ATP7A/PMEL/SLC24A5/UROS/HMBS/MC1R",31
"GO:0033059",80,"GO:0033059","cellular pigmentation",6.9598022528054,1.65601682278148e-07,"DTNBP1/CDH3/RAB27A/HPS4/AP1B1/GPR143/RAB11A/AP1S1/TYRP1/HPS1/HPS5/POMC/MLPH/MREG/RAB32/RAB38/RAB17/APOE/CD63/RAB1A/LYST/BBS5/HPS3/HPS6/BCL2/AP3S1/BACE2/VPS33B/PMEL/BLOC1S2/MYO5A",31
"GO:0006582",104,"GO:0006582","melanin metabolic process",6.36816049337408,8.61789220273171e-06,"OPN3/CDH3/TYR/DCT/OCA2/TYRP1/RAB38/CITED1/SLC7A11/MFSD12/SLC45A2/ATP7A/BCL2/PMEL/SLC24A5/MC1R",16
"GO:0042438",116,"GO:0042438","melanin biosynthetic process",6.04180567101907,2.98277537134548e-05,"OPN3/CDH3/TYR/DCT/OCA2/TYRP1/RAB38/CITED1/SLC7A11/MFSD12/SLC45A2/ATP7A/PMEL/SLC24A5/MC1R",15
"GO:0048753",176,"GO:0048753","pigment granule organization",5.25210965882209,0.000190638927064743,"DTNBP1/HPS4/AP1B1/GPR143/AP1S1/TYRP1/HPS1/HPS5/RAB32/RAB38/APOE/LYST/HPS3/HPS6/BCL2/AP3S1/BACE2/PMEL/BLOC1S2",19
"GO:0048066",208,"GO:0048066","developmental pigmentation",4.94023077431217,0.000387898995735514,"RAB27A/TYR/DCT/BAX/HPS4/GPR143/OCA2/TYRP1/HPS5/MREG/RAB32/RAB38/CITED1/CD63/EDNRB/KIT/TPCN2/SLC45A2/BCL2/MITF/SLC24A5",21
"GO:0032438",213,"GO:0032438","melanosome organization",4.95984287833792,0.000457842279187096,"DTNBP1/HPS4/AP1B1/GPR143/AP1S1/TYRP1/HPS1/HPS5/RAB32/RAB38/APOE/LYST/HPS3/HPS6/AP3S1/BACE2/PMEL/BLOC1S2",18
"GO:1903232",381,"GO:1903232","melanosome assembly",4.21892385442984,0.00546604635246594,"HPS4/AP1B1/AP1S1/HPS1/HPS5/RAB32/RAB38/HPS3/HPS6/AP3S1",10
"GO:0048021",385,"GO:0048021","regulation of melanin biosynthetic process",4.26021172097502,0.0056374149690753,"OPN3/CDH3/TYRP1/RAB38/SLC7A11/MFSD12/ATP7A/PMEL/SLC24A5",9
"GO:0032400",446,"GO:0032400","melanosome localization",3.84706712354988,0.0107744597741244,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/VPS33B/MYO5A",11
"GO:0032402",459,"GO:0032402","melanosome transport",3.81826138340089,0.012455136956206,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/MYO5A",10
"GO:0050931",476,"GO:0050931","pigment cell differentiation",3.59282084095664,0.0150818470355169,"RAB27A/HPS4/OCA2/TYRP1/MREG/RAB32/RAB38/CITED1/CD63/EDNRB/KIT/BCL2/MITF/SLC24A5",14
"GO:0030318",478,"GO:0030318","melanocyte differentiation",3.68009446380201,0.0151479706227079,"RAB27A/HPS4/OCA2/TYRP1/MREG/CITED1/EDNRB/KIT/BCL2/MITF/SLC24A5",11
"GO:0051875",479,"GO:0051875","pigment granule localization",3.68009446380201,0.0151479706227079,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/VPS33B/MYO5A",11
"GO:0032401",503,"GO:0032401","establishment of melanosome localization",3.63533677389685,0.0178019612851646,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/MYO5A",10
"GO:0051904",504,"GO:0051904","pigment granule transport",3.63533677389685,0.0178019612851646,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/MYO5A",10
"GO:0051905",544,"GO:0051905","establishment of pigment granule localization",3.46237899695247,0.0248317760943008,"CDH3/RAB27A/GPR143/RAB11A/MLPH/MREG/RAB17/RAB1A/BBS5/MYO5A",10
"GO:0048023",562,"GO:0048023","positive regulation of melanin biosynthetic process",3.6860965720767,0.0258601400718969,"OPN3/CDH3/TYRP1/RAB38/ATP7A/PMEL",6
"GO:0046149",644,"GO:0046149","pigment catabolic process",3.38000401703536,0.0427924142679265,"ABCC2/BLVRB/HMOX1/ABCC1/HMOX2/BLVRA",6
